"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","655"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","1404"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","06:30 - 07:00","Students at school or college aged 19 years and over","Number","3713"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:01 - 07:30","All persons","Number","152986"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:01 - 07:30","Population aged 15 years and over at work","Number","134735"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","2960"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","8161"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:01 - 07:30","Students at school or college aged 19 years and over","Number","7130"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:31 - 08:00","All persons","Number","231561"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:31 - 08:00","Population aged 15 years and over at work","Number","169624"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","12015"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","36688"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","07:31 - 08:00","Students at school or college aged 19 years and over","Number","13234"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:01 - 08:30","All persons","Number","292591"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:01 - 08:30","Population aged 15 years and over at work","Number","140816"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","59973"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","72236"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:01 - 08:30","Students at school or college aged 19 years and over","Number","19566"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:31 - 09:00","All persons","Number","304291"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:31 - 09:00","Population aged 15 years and over at work","Number","99927"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","132985"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","49036"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","08:31 - 09:00","Students at school or college aged 19 years and over","Number","22343"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","09:01 - 09:30","All persons","Number","110219"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","09:01 - 09:30","Population aged 15 years and over at work","Number","40546"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","57453"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","3519"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","09:01 - 09:30","Students at school or college aged 19 years and over","Number","8701"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","After 09:30","All persons","Number","108676"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","After 09:30","Population aged 15 years and over at work","Number","94779"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","After 09:30","Children at school aged between 5 and 12 years","Number","447"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","After 09:30","Students at school or college aged between 13 and 18 years","Number","908"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","After 09:30","Students at school or college aged 19 years and over","Number","12542"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Not stated","All persons","Number","84932"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Not stated","Population aged 15 years and over at work","Number","62828"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Not stated","Children at school aged between 5 and 12 years","Number","12868"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Not stated","Students at school or college aged between 13 and 18 years","Number","5513"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","Total time travelling","Not stated","Students at school or college aged 19 years and over","Number","3723"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","All departure times","All persons","Number","480016"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","All departure times","Population aged 15 years and over at work","Number","212383"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","All departure times","Children at school aged between 5 and 12 years","Number","182391"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","66896"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","All departure times","Students at school or college aged 19 years and over","Number","18346"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","Before 06:30","All persons","Number","20983"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","Before 06:30","Population aged 15 years and over at work","Number","20795"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","59"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Male","< ¼ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","47"
