"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:01 - 08:30","Population aged 15 years and over at work","Number","123684"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","749"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","5929"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:31 - 09:00","All persons","Number","97104"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:31 - 09:00","Population aged 15 years and over at work","Number","91271"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","543"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","5290"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","09:01 - 09:30","All persons","Number","37246"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","09:01 - 09:30","Population aged 15 years and over at work","Number","34987"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","71"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","2188"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","After 09:30","All persons","Number","73548"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","70783"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","51"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","2714"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Not stated","All persons","Number","7662"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","7417"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","235"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","All departure times","All persons","Number","501401"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","476952"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","3220"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","21229"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","Before 06:30","All persons","Number","41028"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","40573"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","431"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","06:30 - 07:00","All persons","Number","49472"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","48203"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","1222"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","07:01 - 07:30","All persons","Number","62460"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","60191"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Driver","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","140"
