"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","352"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 10,000 population and over","All persons","Number","97121"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 10,000 population and over","Population aged 15 years and over at work","Number","16507"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","53843"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","24158"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","2613"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 5,000 - 9,999 population","All persons","Number","37106"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","6528"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","21046"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","8499"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","1033"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 2,000 - 4,999 population","All persons","Number","28672"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","4770"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","16579"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","6476"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","847"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,500 - 1,999 population","All persons","Number","9129"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","1446"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","5218"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","2125"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","340"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,000 - 1,499 population","All persons","Number","11571"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","1802"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","6919"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","2424"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","426"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Total Towns 500 - 999 population","All persons","Number","15878"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","2438"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","9160"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","3651"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","629"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","13662"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","1995"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","7863"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","3221"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","583"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Both sexes","Motor car: Passenger","Remainder of country","All persons","Number","217032"
