"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","548"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","111"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1½ hours and over","All persons","Number","207"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1½ hours and over","Population aged 15 years and over at work","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1½ hours and over","Children at school aged between 5 and 12 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","1½ hours and over","Students at school or college aged 19 years and over","Number","48"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Not stated","All persons","Number","1589"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Not stated","Population aged 15 years and over at work","Number","990"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Not stated","Children at school aged between 5 and 12 years","Number","330"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Not stated","Students at school or college aged between 13 and 18 years","Number","138"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Waterford City and County","Not stated","Students at school or college aged 19 years and over","Number","131"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","Total time travelling","All persons","Number","23258"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","Total time travelling","Population aged 15 years and over at work","Number","14961"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","Total time travelling","Children at school aged between 5 and 12 years","Number","3041"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","Total time travelling","Students at school or college aged between 13 and 18 years","Number","1953"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","Total time travelling","Students at school or college aged 19 years and over","Number","3303"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","< ¼ hour","All persons","Number","8050"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","< ¼ hour","Population aged 15 years and over at work","Number","4990"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","< ¼ hour","Children at school aged between 5 and 12 years","Number","1368"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","498"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","< ¼ hour","Students at school or college aged 19 years and over","Number","1194"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¼ hour - < ½ hour","All persons","Number","9397"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","6018"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1097"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","932"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","1350"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","½ hour - < ¾ hour","All persons","Number","3368"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2302"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","295"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","356"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","415"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¾ hour - < 1 hour","All persons","Number","603"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","436"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Galway City","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","45"
